,Data,Clube,Nome,Apelido,Gols
0,2019-08-22,Flamengo,Gabriel Barbosa Almeida,Gabriel B.,11
1,2019-08-22,Chapecoense,Everaldo Stum,Everaldo,8
2,2019-08-22,Santos,Eduardo Colcenti Antunes,Eduardo Sasha,7
3,2019-08-22,Bahia,Gilberto Oliveira Souza Junior,Gilberto,7
4,2019-08-22,Ceará,Thiago Galhardo do Nascimento Rocha,Thiago,7
5,2019-08-22,Flamengo,Bruno Henrique Pinto,Bruno,7
6,2019-08-22,Flamengo,Giorgian Daniel de Arrascaeta Benedetti,De Arrascaeta,6
7,2019-08-22,Goiás,Kayke Moreno de Andrade Rodrigues,Kayke,6
8,2019-08-22,São Paulo,Alexandre Rodrigues da Silva,Alexandre Pato,5
9,2019-08-22,Palmeiras,Eduardo Pereira Rodrigues,Dudu,5
10,2019-08-22,Fluminense,Pedro Guilherme Abreu dos Santos,Pedro,5
11,2019-08-22,Santos,Carlos Andres Sanchez Arcosa,Carlos Sanchez,5
12,2019-08-22,Fluminense,Yony Alexander Gonzalez Copete,Yony Gonzalez,4
13,2019-08-22,Athletico Paranaense,Marcelo Cirino da Silva,Marcelo Cirino,4
14,2019-08-22,Palmeiras,Bruno Henrique Corsini,Bruno,4
15,2019-08-22,Cruzeiro,Thiago Neves Augusto,Thiago Neves,4
16,2019-08-22,Atlético,Juan Ramon Cazares Sevillano,Cazares,4
17,2019-08-22,Corinthians,Pedro Victor Delmino da Silva,Pedro,4
18,2019-08-22,Botafogo,Alex Paulo Menezes Santana,Alex,4
19,2019-08-22,Grêmio,Everton Sousa Soares,Everton,4
20,2019-08-22,Palmeiras,Deyverson Brum Silva,Deyverson,3
21,2019-08-22,Palmeiras,Raphael Cavalcante Veiga,Raphael Veiga,3
22,2019-08-22,São Paulo,Reinaldo Manoel da Silva,Reinaldo,3
23,2019-08-22,Athletico Paranaense,Ronielson da Silva Barbosa,Rony,3
24,2019-08-22,Grêmio,Eduardo Gabriel Aquino Cossa,Pepe,3
25,2019-08-22,Bahia,Artur Victor Guimaraes,Artur,3
26,2019-08-22,Internacional,Jose Paolo Guerrero Gonzales,Guerrero,3
27,2019-08-22,Botafogo,Cicero Santos,Cicero,3
28,2019-08-22,Fortaleza,Wellington Pereira do Nascimento,Wellington Paulista,3
29,2019-08-22,Botafogo,Diego de Souza Andrade,Diego Souza,3
30,2019-08-22,Internacional,Edenilson Andrade dos Santos,Edenilson,3
31,2019-08-22,Santos,Yeferson Julio Soteldo Martinez,Yeferson Soteldo,3
32,2019-08-22,Csa,Ricardo Bueno da Silva,Ricardo Bueno,3
33,2019-08-22,Goiás,Leandro Barcia Montero,Leandro Barcia,3
34,2019-08-22,Fluminense,Joao Pedro Junqueira de Jesus,Joao Pedro,3
35,2019-08-22,Atlético,Yimmi Javier Chara Zamora,Chará,3
36,2019-08-22,Corinthians,Mauro Boselli,Boselli,3
37,2019-08-22,Athletico Paranaense,Thonny Anderson da Silva Carvalho,Thonny Anderson,2
38,2019-08-22,Fortaleza,Andre Luis da Costa Alfredo,Andre Luis,2
39,2019-08-22,Grêmio,Luciano da Rocha Neves,Luciano,2
40,2019-08-22,Avaí,Brenner Marlos Varanda de Oliveira,Brenner,2
41,2019-08-22,Internacional,Martin Nicolas Sarrafiore,Sarrafiore,2
42,2019-08-22,Palmeiras,Gustavo Raul Gomez Portillo,GUSTAVO GOMEZ,2
43,2019-08-22,Atlético,Vinicius Goes Barbosa de Souza,Vinicius,2
44,2019-08-22,Flamengo,Victor Vinicius Coelho Santos,Vitinho,2
45,2019-08-22,Bahia,Arthur Caike do Nascimento Cruz,Arthur,2
46,2019-08-22,Fortaleza,Paulo Roberto Valoura Junior,Juninho,2
47,2019-08-22,Atlético,Fabio Santos Romeu,Fabio Santos,2
48,2019-08-22,Vasco da Gama,Leandro Castan da Silva,Leandro,2
49,2019-08-22,Corinthians,Vagner Silva de Souza,Vagner Love,2
50,2019-08-22,Atlético,Ricardo de Oliveira,Ricardo Oliveira,2
51,2019-08-22,Vasco da Gama,Bruno Cesar Zanaki,Bruno,2
52,2019-08-22,Cruzeiro,Anderson Vital da Silva,Dedé,2
53,2019-08-22,Palmeiras,Marcos Luis Rocha Aquino,Marcos Rocha,2
54,2019-08-22,Bahia,Jose Fernando Viana de Santana,Fernandao,2
55,2019-08-22,Ceará,Leandro Carvalho da Silva,Leandro,2
56,2019-08-22,Cruzeiro,Pedro Rocha Neves,Pedro Rocha,2
57,2019-08-22,Fortaleza,Marcio Augusto da Silva Barbosa,Marcio,2
58,2019-08-22,Atlético,Alerrandro Barra Mansa Realino de Souza,Alerrandro,2
59,2019-08-22,São Paulo,Jonas Gabriel da Silva Nunes,Jonas Toró,2
60,2019-08-22,Grêmio,Jean Pyerre Casagrande Silveira Correa,Jean Pyerre,2
61,2019-08-22,Ceará,Wanderson Felippe Cardoso dos Santos,Felippe Cardoso,2
62,2019-08-22,Palmeiras,Jose Rafael Vivian,Ze Rafael,2
63,2019-08-22,Vasco da Gama,Maximiliano Gaston Lopez,Maxi Lopez,2
64,2019-08-22,São Paulo,Vitor Frezarin Bueno,Vitor Bueno,2
65,2019-08-22,Chapecoense,Rildo de Andrade Felicissimo,Rildo,2
66,2019-08-22,Athletico Paranaense,Bruno Guimaraes Rodriguez Moura,Bruno Guimaraes,2
67,2019-08-22,Vasco da Gama,Glaybson Yago Souza Lisbôa,Yago,2
68,2019-08-22,Cruzeiro,Luiz Ricardo Alves,Sassá,2
69,2019-08-22,Internacional,Gustavo Nonato Santana,Nonato,2
70,2019-08-22,Atlético,Nathan Allan de Souza,Nathan,2
71,2019-08-22,Santos,Felipe Jonatan Rocha Andrade,Felipe,2
72,2019-08-22,Corinthians,Clayson Henrique da Silva Vieira,Clayson,2
73,2019-08-22,Fortaleza,Francisco Edson Moreira da Silva,Edinho,2
74,2019-08-22,Santos,Lucas Verissimo da Silva,Lucas Verissimo,1
75,2019-08-22,Atlético,Jair Rodrigues Junior,Jair,1
76,2019-08-22,Internacional,Emerson Raymundo Santos,Emerson,1
77,2019-08-22,Fluminense,Marcilio Florencio Mota Filho,NINO,1
78,2019-08-22,Chapecoense,Renato Kayzer de Souza,Renato Kayzer,1
79,2019-08-22,Avaí,Joao Paulo da Silva Alves,João Paulo,1
80,2019-08-22,Vasco da Gama,Ricardo Queiroz de Alencastro Graça,Ricardo,1
81,2019-08-22,Athletico Paranaense,Leonardo Cittadini,Cittadini,1
82,2019-08-22,Athletico Paranaense,Madson Ferreira dos Santos,Madson,1
83,2019-08-22,Athletico Paranaense,Leonardo Pereira,Leo Pereira,1
84,2019-08-22,Flamengo,Gerson Santos da Silva,Gerson,1
85,2019-08-22,Palmeiras,Gustavo Henrique Furtado Scarpa,Gustavo Scarpa,1
86,2019-08-22,Vasco da Gama,Danilo Carvalho Barcelos,Danilo,1
87,2019-08-22,Flamengo,Rodrigo Caio Coquette Russo,Rodrigo Caio,1
88,2019-08-22,Ceará,Mateus Goncalves Martins,Mateus Gonçalves,1
89,2019-08-22,Avaí,Daniel Amorim Dias da Silva,Daniel Amorim,1
90,2019-08-22,Fortaleza,Bruno Ferreira Melo,Bruno,1
91,2019-08-22,São Paulo,Danilo das Neves Pinheiro,Tche Tche,1
92,2019-08-22,Santos,Jean Mota Oliveira de Sousa,Sousa,1
93,2019-08-22,Santos,Diego Cristiano Evaristo,Diego,1
94,2019-08-22,Goiás,Michael Richard Delgado de Oliveira,Michael,1
95,2019-08-22,Grêmio,Walter Kannemann,Kannemann,1
96,2019-08-22,Athletico Paranaense,Luis Oscar Gonzalez,Lucho Gonzalez,1
97,2019-08-22,Flamengo,Orlando Enrique Berrio Melendez,Berrio,1
98,2019-08-22,Csa,Jonatan David Gomez,Jonatan Gomez,1
99,2019-08-22,São Paulo,Antony Matheus dos Santos,Antony,1
100,2019-08-22,Botafogo,Luiz Fernando Moraes dos Santos,Luiz Fernando,1
101,2019-08-22,Vasco da Gama,Marrony da Silva Liberato Silveira,Marrony,1
102,2019-08-22,Vasco da Gama,Tiago Rodrigues dos Reis,Tiago Rodrigues dos Reis,1
103,2019-08-22,Santos,Rodrygo Silva de Goes,Rodrygo,1
104,2019-08-22,Athletico Paranaense,Vitor Hugo Naum dos Santos,Vitinho,1
105,2019-08-22,Csa,Matheus Gonçalves Savio,Matheus Savio,1
106,2019-08-22,Grêmio,Felipe dos Reis Pereira Vizeu do Carmo,Felipe Vizeu,1
107,2019-08-22,Goiás,Jefferson Junio Antonio da Silva,Jefferson Junio,1
108,2019-08-22,Vasco da Gama,Marcos Antonio Candido Ferreira Junior,Marcos Junior,1
109,2019-08-22,Botafogo,Marcelo da Conceiçao Benevenuto Malaquias,Marcelo,1
110,2019-08-22,Vasco da Gama,Andrey Ramos do Nascimento,Andrey,1
111,2019-08-22,Corinthians,Mateus da Silva Vital Assumpção,Mateus,1
112,2019-08-22,Grêmio,Luan Guilherme de Jesus Vieira,Luan,1
113,2019-08-22,Corinthians,Carlos Augusto Zopolato Neves,Carlos,1
114,2019-08-22,Atlético,Iago Justen Maidana Martins,Iago,1
115,2019-08-22,Fortaleza,Jose Romario Silva de Souza,Romarinho,1
116,2019-08-22,São Paulo,Hudson Rodrigues dos Santos,Hudson,1
117,2019-08-22,Fortaleza,Osvaldo Lourenco Filho,Osvaldo,1
118,2019-08-22,Flamengo,Everton Augusto de Barros Ribeiro,Everton Ribeiro,1
119,2019-08-22,Cruzeiro,Rodrigo Eduardo Costa Marinho,Rodriguinho,1
120,2019-08-22,São Paulo,Everton Cardoso da Silva,Everton,1
121,2019-08-22,Bahia,Ernando Rodrigues Lopes,Ernando,1
122,2019-08-22,Cruzeiro,Robson Michael Signorini,Robinho,1
