,Data,Posicao,Clube,Pontos,Jogos,Vitorias,Empates,Derrotas,GolsPro,GolsContra,SaldoGols,Amarelos,Vermelhos,Aproveitamento
,2019-08-22,1,Santos - SP,32,15,10,2,3,25,14,11,44,3,71
,2019-08-22,2,Flamengo - RJ,30,15,9,3,3,32,18,14,42,1,66
,2019-08-22,3,Palmeiras - SP,30,15,8,6,1,24,10,14,33,1,66
,2019-08-22,4,São Paulo - SP,30,15,8,6,1,20,9,11,39,3,66
,2019-08-22,5,Atlético - MG,27,15,8,3,4,22,16,6,26,1,60
,2019-08-22,6,Corinthians - SP,27,15,7,6,2,17,8,9,32,0,60
,2019-08-22,7,Internacional - RS,24,15,7,3,5,17,12,5,37,0,53
,2019-08-22,8,Athletico Paranaense - PR,22,15,7,1,7,22,15,7,32,0,48
,2019-08-22,9,Botafogo - RJ,22,15,7,1,7,14,15,-1,40,1,48
,2019-08-22,10,Bahia - BA,21,15,5,6,4,17,15,2,26,4,46
,2019-08-22,11,Ceará - CE,20,15,6,2,7,19,14,5,31,0,44
,2019-08-22,12,Goiás - GO,18,15,5,3,7,14,24,-10,31,2,40
,2019-08-22,13,Grêmio - RS,18,15,4,6,5,18,20,-2,37,0,40
,2019-08-22,14,Fortaleza - CE,17,15,5,2,8,16,21,-5,27,6,37
,2019-08-22,15,Vasco da Gama - RJ,17,15,4,5,6,14,22,-8,33,2,37
,2019-08-22,16,Cruzeiro - MG,14,15,3,5,7,13,22,-9,28,3,31
,2019-08-22,17,Chapecoense - SC,13,15,3,4,8,16,27,-11,27,1,28
,2019-08-22,18,Fluminense - RJ,12,15,3,3,9,19,25,-6,37,7,26
,2019-08-22,19,Csa - AL,11,15,2,5,8,4,22,-18,35,1,24
,2019-08-22,20,Avaí - SC,6,15,0,6,9,7,21,-14,36,2,13
